ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5,spotify
1,Juicy,The Notorious B.I.G.,1994,male,140,18,9,3,3,1,2,2b7FqlHc3JrzlYtGEkzq22
2,Fight The Power,Public Enemy,1989,male,100,11,7,3,1,0,0,1yo16b3u0lptm6Cs7lx4AD
3,Shook Ones (Part II),Mobb Deep,1995,male,94,13,4,5,1,1,2,33ZXjLCpiINn8eQIDYEPTD
4,The Message,Grandmaster Flash & The Furious Five,1982,male,90,14,5,3,1,0,5,5DuTNKFEjJIySAyJH1yNDU
5,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,1992,male,84,14,2,4,2,4,2,4YtoipFgf4k0AfD17ZfD5X
6,C.R.E.A.M.,Wu-Tang Clan,1993,male,62,10,3,1,1,4,1,119c93MHjrDLJTApCVGpvx
7,93 ’Til Infinity,Souls of Mischief,1993,male,50,7,2,2,2,0,1,0PV1TFUMTBrDETzW6KQulB
8,Passin’ Me By,The Pharcyde,1992,male,48,6,3,2,0,0,1,4G3dZN9o3o2X4VKwt4CLts
9,N.Y. State Of Mind,Nas,1994,male,46,7,1,3,1,1,1,26Izh06V7txOWIEaPGd080
10,Dear Mama,2Pac,1995,male,42,6,2,1,1,2,0,6tDxrq4FxEL2q15y37tXT9
11,Runaway,Kanye West ft. Pusha T,2010,male,38,5,2,0,3,0,0,3DK6m7It6Pw857FcQftMds
12,Paid In Full,Eric B & Rakim,1987,male,36,5,1,1,3,0,0,20s3FayrStM8GY0m4dRFsw
13,Rapper’s Delight,Sugarhill Gang,1979,male,36,4,2,2,0,0,0,0FWhGmPVxLI6jOVF0wjALa
14,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,1992,male,34,6,1,0,2,3,0,2Mb3zpobD0CvJGWv6NpsPy
15,Fuck Tha Police,NWA,1988,male,32,5,1,1,2,0,1,5n8Aro6j1bEGIy7Tpo7FV7
